date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary,proj_FP/60,proj_FP,proj_value
21_03_11,Auston Matthews,C,TOR,WPG,1.6487039355173552,1.4288767441150412,10.221964400207602,3.0775806796323963,1.0705584221292692,21.873333333333367,0.6695411746191152,0.8146484434627467,3.7,19.6,8900,51.804124447865206,18.885481368160665,2.1219641986697377
21_03_11,Patrick Kane,W,CHI,DAL,1.2014198598343455,1.856739783380352,10.70355875125144,1.0921998725766775,0.7416037134795641,22.222777777777832,0.811913214385932,0.81439444201997,2.5,18.1,8400,45.4125925759743,16.819899218810672,2.002368954620318
21_03_11,David Pastrnak,W,BOS,NYR,1.9125683060109409,2.185792349726789,13.797814207650358,1.6393442622950922,0.9576502732240496,17.865555555555467,0.7308260895146232,0.597624356436488,3.1,18.7,8500,54.55284982681606,16.243616154914278,1.9110136652840328
21_03_11,Mitchell Marner,W,TOR,WPG,1.1669746183020542,1.400369541962465,7.001847709812325,1.5170670037926706,0.9499173392978724,22.48388888888884,0.7298617160348136,0.854862137739879,3.7,14.3,7500,42.2473415894259,15.831408902459739,2.1108545203279654
21_03_11,Mathew Barzal,C,NYI,NJD,1.0738432984223794,1.4317910645631728,9.425957841707554,0.5965796102346553,0.8483362057536799,19.614999999999974,0.9361201910437492,0.8917033338503341,3.2,14.2,6900,46.89043421048729,15.329264450645118,2.221632529079003
21_03_11,Bryan Rust,W,PIT,BUF,1.0222190672251026,1.1499964506282403,9.4555263718322,1.6611059842407918,1.036274579399448,19.507222222222204,0.7992991121190129,0.6544606111575592,3.5,13.8,5400,46.676632076941296,15.175523908496649,2.810282205277157
21_03_11,Alex DeBrincat,W,CHI,DAL,1.517866554232107,1.2648887951934222,11.004532518182776,1.517866554232107,1.0043217033835774,19.59500000000001,0.6805542194339254,0.7268217787186323,2.5,16.5,7200,46.196956020503166,15.087155887029333,2.095438317642963
21_03_11,Anders Lee,W,NYI,NJD,1.158839729604069,0.9013197896920536,9.78575771665658,2.060159519296122,1.0197789620515807,18.24388888888882,0.8503988128947988,0.8345557484177005,3.2,13.4,7000,48.96183766242886,14.8875721018194,2.1267960145456284
21_03_11,Alex Ovechkin,W,WSH,PHI,1.517919887561488,0.8854532677442012,9.866479269149671,2.5298664792691463,0.9056921995783545,19.859444444444478,0.5767893475683619,0.6261691904604628,3.0,16.4,8000,43.81399600258531,14.502026991707591,1.812753373963449
21_03_11,Aleksander Barkov,C,FLA,CBJ,0.7446991897948672,1.3652818479572564,8.439924151008494,2.7305636959145128,0.8700568867436699,20.81944444444436,0.76946809025076,0.6273993267733575,2.9,15.1,7200,41.19419530702872,14.294004343804584,1.98527838108397
21_03_11,Jake Guentzel,W,PIT,BUF,0.9477737190245844,1.421660578536877,7.226774607562457,2.250962582683389,0.7973146411294321,20.3222222222222,0.9187790812540207,0.7341139239142311,3.5,15.6,7400,41.90370005940135,14.192938409008331,1.9179646498659908
21_03_11,Sidney Crosby,C,PIT,BUF,1.1060662957020464,1.3518588058580567,7.496671559758314,1.8434438261700772,0.8012835831085937,20.012222222222203,0.91679461026444,0.7327909432545106,3.5,15.7,8000,42.195679271421184,14.07382183995493,1.7592277299943662
21_03_11,Patrice Bergeron,C,BOS,NYR,0.7623242419108914,1.3721836354396046,9.910215144841588,3.65915636117228,0.6540741995595448,17.69555555555559,0.8826141263468756,0.6988163809913229,3.1,12.1,7500,47.011126759953314,13.864800088500333,1.8486400118000443
21_03_11,Tyler Toffoli,W,MTL,CGY,1.7116367526447192,0.9984547723760864,11.268275288244402,0.8558183763223596,0.9570902175205056,17.607777777777756,0.8791813114210111,0.5692301264873474,2.8,15.0,6600,46.90947254802608,13.766192804973487,2.0857867886323467
21_03_11,Filip Forsberg,W,NSH,CAR,1.065325146112302,1.4648220759044157,11.185914034179174,2.2638159354886422,0.9015314048975358,18.39944444444445,0.7057225515154966,0.6094915539495883,2.2,18.4,7500,44.46242935606086,13.634733313364627,1.8179644417819503
21_03_11,Vincent Trocheck,C,CAR,NSH,0.9958112700545289,0.5690350114597307,8.251007666166096,2.2761400458389227,0.8948075555204266,18.022222222222275,0.8897176587352613,0.7830478492203085,3.3,14.9,6200,44.63779292098311,13.407870392191633,2.1625597406760697
21_03_11,William Nylander,W,TOR,WPG,1.1405037224774293,0.8553777918580721,9.551718675748472,1.283066687787108,1.1048629811500097,16.59888888888887,0.6562964847462489,0.8032135904558332,3.7,14.6,6400,48.339668267651035,13.373079708341443,2.0895437044283502
21_03_11,Brendan Gallagher,W,MTL,CGY,1.337516512549542,1.337516512549542,12.929326287978908,1.1889035667107042,1.2379458388375206,15.336111111111068,0.7387535007625036,0.5733684614609903,2.8,11.7,6600,52.13144553959394,13.324894019634137,2.018923336308202
21_03_11,Jordan Eberle,W,NYI,NJD,1.187639749276046,0.7917598328506974,8.313478244932323,1.4515596935596118,0.8524614200359178,17.79500000000009,0.9340575839026304,0.8903282624229214,3.2,10.1,5700,44.86206607710851,13.305341097369165,2.3342703679595025
21_03_11,John Tavares,C,TOR,WPG,0.3859761981344501,1.4152460598263166,8.105500160823452,1.92988099067225,0.7385011257639145,18.24888888888883,0.8394774124392965,0.6742357360102694,3.7,12.6,7300,43.052244080736024,13.09426031077789,1.7937342891476562
21_03_11,Kyle Connor,W,WPG,TOR,1.38051246295973,1.38051246295973,8.534077043751058,0.8785079309743737,0.7806170472372289,19.13055555555561,0.7464804665647846,0.7686456986425276,2.8,15.2,6800,40.10553138990659,12.787351605661456,1.8804928831855083
21_03_11,Andrei Svechnikov,W,CAR,NSH,0.6842545426898811,0.9579563597658336,9.032159963506428,0.8211054512278573,1.1002813046453286,17.53833333333333,0.5553076538762027,0.7145565995120077,3.3,11.3,5900,43.20088342422553,12.627858229809032,2.140314954204921
21_03_11,Alex Killorn,W,TBL,DET,1.0625737898465162,1.0625737898465162,7.438016528925614,0.7589812784617973,0.7195142519817836,18.28333333333333,0.831886343273402,0.8131361357443118,3.6,12.8,5000,41.17484654617198,12.546890739208516,2.509378147841703
21_03_11,Zach Hyman,W,TOR,WPG,0.7485704383988937,0.8733321781320427,6.612372205856894,2.2457113151966808,0.838398891006761,19.70833333333327,0.6152692457353732,0.6409364809293205,3.7,11.0,4900,38.089783485409654,12.51143582541577,2.553354250084851
21_03_11,Dougie Hamilton,D,CAR,NSH,0.227000441389746,0.9080017655589842,7.718015007251364,3.6320070622359366,0.3212056245664906,22.51666666666676,0.2636215700577967,0.8109877757953379,3.3,14.4,5600,33.164355052335424,12.445845465473706,2.2224724045488764
21_03_11,Patric Hornqvist,W,FLA,CBJ,0.8048649615453399,1.2877839384725438,11.429082453943828,2.575567876945088,0.8644249686996951,16.30777777777779,0.3690418595388657,0.6302152857953449,2.9,12.0,6200,45.706746583908476,12.422924437259725,2.003697489880601
21_03_11,Mark Scheifele,C,WPG,TOR,1.098666341135898,1.8677327799310268,5.932798242133851,2.3071993163853857,0.9657277138584544,21.43944444444445,0.6701046910345643,0.7069421431021192,2.8,11.9,7800,34.669901864878874,12.388390582106862,1.588255202834213
21_03_11,Sean Couturier,C,PHI,WSH,1.810106427553844,1.3575798206653826,8.29632112628845,0.905053213776922,1.009134333361268,18.39666666666665,0.7064633207119662,0.6748186283337577,3.0,15.5,7700,40.34322609970338,12.36968138023682,1.606452127303483
21_03_11,Mika Zibanejad,C,NYR,BOS,0.9936908517350224,0.7097791798107304,6.813880126183012,2.9810725552050674,0.6345425867507931,20.40666666666657,0.7674390489623198,0.8364477149973792,2.4,10.8,6200,36.16145291147214,12.298911929112855,1.983695472437557
21_03_11,Ryan Strome,C,NYR,BOS,1.1298991721919285,0.5649495860959642,8.333006394915472,1.5536113617639014,1.0380948644513344,18.78666666666664,0.7238650682698691,0.701930289097199,2.4,11.1,5600,39.243225410974766,12.287489912014081,2.1941946271453716
21_03_11,Victor Hedman,D,TBL,DET,0.522056904202557,0.8352910467240914,5.5338031845471045,4.280866614460968,0.2422344035499864,24.961111111111148,0.1648247552889165,0.7897306648036797,3.6,15.6,7000,29.435986028493335,12.245915298705626,1.7494164712436608
21_03_11,Sebastian Aho,C,CAR,NSH,0.8181818181818162,1.2272727272727244,6.272727272727258,1.6363636363636325,0.7281818181818164,19.32944444444447,0.7931134678619383,0.8385897616665119,3.3,15.8,7300,37.87330111006264,12.201164495577881,1.6713923966545041
21_03_11,Blake Wheeler,W,WPG,TOR,0.745907866565368,1.6161337108916305,7.21044271013189,1.86476966641342,0.5979694730299033,19.13111111111117,0.8539838114488398,0.8295282233783029,2.8,12.3,6600,38.064941881076194,12.137077209414295,1.8389510923354995
21_03_11,Kevin Hayes,C,PHI,WSH,1.6053186314253416,1.3134425166207342,9.048159558942835,0.4378141722069114,0.9996756932057812,18.20444444444434,0.6117178376804131,0.5789561033543729,3.0,10.0,6500,40.00063284135335,12.136488305050547,1.8671520469308533
21_03_11,Brayden Point,C,TBL,DET,0.814633226475581,1.2219498397133717,7.060154629455036,1.629266452951162,0.8580803318876121,18.294444444444427,0.6159700618714071,0.7669474424423689,3.6,13.1,7400,39.74613989777129,12.11889247068155,1.6376881717137228
21_03_11,Cam Atkinson,W,CBJ,FLA,0.8440797186400923,0.5627198124267282,9.425556858147695,1.8288393903868667,0.6991793669402095,18.296111111111127,0.6659632728996581,0.5994145000816821,2.6,9.7,6300,39.554540693033445,12.061571191145108,1.9145351097055727
21_03_11,Zach Werenski,D,CBJ,FLA,0.1971144632737425,0.6899006214580987,7.1946779094916,3.3509458756536223,0.3183398581870941,24.56444444444445,0.2402616395011833,0.624355716796314,2.6,9.4,4800,29.360399376553655,12.020364989200894,2.5042427060835197
21_03_11,Nikolaj Ehlers,W,WPG,TOR,1.337593817344129,1.8726313442817808,10.16571301181538,1.337593817344129,0.8520472616482102,16.397222222222272,0.710765359359294,0.6833730812656712,2.8,10.4,6200,43.937012648669565,12.00741600301376,1.9366800004860905
21_03_11,Kris Letang,D,PIT,BUF,0.51819438046983,1.03638876093966,5.492860432980199,3.523721787194844,0.2860432980193462,24.32666666666665,0.1713558088770309,0.7499141032180314,3.5,11.9,6000,29.602147724381805,12.002026338474348,2.000337723079058
21_03_11,Pavel Buchnevich,W,NYR,BOS,1.160588353818253,1.74088253072738,8.269192020955053,1.5958089865000982,0.7674390489623198,19.002222222222244,0.6345425867507931,0.7921488942602037,2.4,12.6,5400,37.855268759488496,11.98890382082913,2.2201673742276165
21_03_11,Brad Marchand,W,BOS,NYR,1.7121794617732184,1.5694978399587831,7.562125956165048,1.5694978399587831,0.8075779794697016,18.474999999999973,0.8058622363917972,0.647648454354604,3.1,15.5,7600,38.762797988129215,11.935711547178103,1.570488361470803
21_03_11,Steven Stamkos,W,TBL,DET,1.4598540145985417,1.4598540145985417,6.7153284671532925,1.3138686131386874,0.9197080291970812,18.09500000000001,0.7317894546657532,0.7464048766725458,3.6,11.1,7900,39.55953432448841,11.930496226693636,1.5101893957840047
21_03_11,Viktor Arvidsson,W,NSH,CAR,0.285340625371535,1.2840328141719075,10.842943764118331,2.568065628343815,0.8103673760551594,16.673888888888996,0.7513045659366848,0.5387521804216818,2.2,8.9,5100,42.90277026174654,11.922600406164882,2.337764785522526
21_03_11,John Carlson,D,WSH,PHI,0.2102067032582037,1.4714469228074265,5.990891042858807,3.36330725213126,0.3216162559850518,24.156111111111137,0.1137607505863954,0.6960499427399357,3.0,12.4,6400,29.24740769084026,11.775060498198396,1.8398532028434993
21_03_11,Ondrej Palat,W,TBL,DET,0.5829251507914023,0.7286564384892529,6.995101809496829,3.789013480144115,0.6616200461482417,16.741666666666656,0.7142002047410924,0.8324342043554923,3.6,16.9,6000,41.95465031191594,11.70651284397765,1.951085473996275
21_03_11,Mikael Backlund,C,CGY,MTL,0.7057439717702413,0.8468927661242897,9.456969221721234,1.4114879435404826,0.8977063320917471,17.39944444444443,0.6262034352057293,0.5859174089744993,2.7,9.8,4300,40.35970098821862,11.703939585648316,2.7218464152670503
21_03_11,Andrew Copp,W,WPG,TOR,0.4113032218752374,1.5081118135425369,7.266356919795859,2.0565161093761866,0.8322035189275634,18.67055555555557,0.741580104692441,0.6899876621725536,2.8,6.2,3900,37.39909438712106,11.637697824703505,2.984025083257309
