date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary,proj_FP/60,proj_FP,proj_value
21_03_03,David Pastrnak,W,BOS,WSH,1.951975213013177,2.0914020139426897,12.68783888458565,1.6731216111541518,0.9592563903950472,17.764444444444383,0.744206180909746,0.7283688232773576,3.2,17.8,8500,52.96459496088261,15.681443411751633,1.8448756955001921
21_03_03,Evander Kane,W,SJS,COL,0.9290322580645168,1.4599078341013834,10.882949308755768,1.0617511520737333,1.032552995391706,18.93277777777776,0.8261673937307787,0.8308117921028083,2.5,11.4,6900,49.37665173557869,15.580619578673929,2.2580608085034677
21_03_03,Nathan MacKinnon,C,COL,SJS,0.3575566959112735,2.264525740771398,9.77321635490814,1.0726700877338204,0.8116536997185906,20.830555555555524,0.6943478026483076,0.7918441886893851,3.5,17.5,8400,43.73574591425936,15.183998083844001,1.8076188195052383
21_03_03,Alex Ovechkin,W,WSH,BOS,1.5010423905489914,0.8756080611535783,10.257123002084771,2.7519110493398173,0.875608061153578,19.99111111111113,0.5800397642738093,0.6790719667694546,2.8,14.0,8200,44.78810777679629,14.922733983705918,1.8198456077690144
21_03_03,Connor McDavid,C,EDM,TOR,1.268905408869524,1.9610356318892643,8.651627787746756,0.8074852601896971,0.9770571648295338,21.88111111111108,0.7544294956253647,0.5971724824668722,3.2,19.8,8900,40.656076430746076,14.826668762049653,1.6659178384325453
21_03_03,Max Pacioretty,W,VGK,MIN,1.4679171145790848,1.4679171145790848,12.544018979130362,2.402046187493048,1.0675760833302437,17.600555555555562,0.5415299372032177,0.4803615219214864,3.0,14.3,7700,49.76023169083754,14.596795372198379,1.895687710675114
21_03_03,Kevin Fiala,W,MIN,VGK,1.2605042016806751,1.2605042016806751,10.504201680672296,1.2605042016806751,1.0434173669467812,17.571666666666633,0.8208001641004643,0.7960166035903598,2.5,10.3,6200,48.40504055274186,14.175953959654347,2.2864441870410235
21_03_03,Ryan Nugent-Hopkins,W,EDM,TOR,0.942796213850128,0.5387406936286445,8.619851098058312,1.4815369074787723,0.9077780687642664,21.25444444444441,0.5890424909154571,0.620265514488628,3.2,14.7,6100,39.14846487491538,13.867981196152872,2.2734395403529297
21_03_03,Logan Couture,C,SJS,COL,1.8040243620383971,0.8326266286331065,7.493639657697957,3.1917354097602413,0.9061753141623642,18.776666666666628,0.8893562343454497,0.8729376858459222,2.5,14.7,7700,43.65485880211394,13.661545535128186,1.7742266928737902
21_03_03,Patrice Bergeron,C,BOS,WSH,1.0795527567150742,1.233774579102942,9.099087520884195,3.5471019149209586,0.7063359465364343,17.644444444444467,0.8706664028390525,0.8126756378968952,3.2,15.3,7600,46.43800466988299,13.656213225143386,1.796870161203077
21_03_03,Anze Kopitar,C,LAK,ARI,0.6028333165879659,1.2056666331759318,5.907766502562066,3.134733246257423,0.8258816437255135,22.01499999999992,0.7545308011040837,0.732662661766752,2.8,13.8,7000,36.33279104346392,13.331106580364255,1.9044437971948935
21_03_03,Timo Meier,W,SJS,COL,0.7136343813186383,1.2845418863735492,12.702691987471765,1.1418150101098214,0.9990881338460936,16.159999999999982,0.6386218088968152,0.5678230079106107,2.5,11.2,5600,49.33852964884001,13.288510652087561,2.3729483307299213
21_03_03,Alex Pietrangelo,D,VGK,MIN,0.3991020204539792,0.8979795460214532,7.383387378398615,4.589673235220761,0.3272636567722629,24.77666666666663,0.3556852948606385,0.8286708878354735,3.0,13.2,6900,32.14899069675778,13.275747102722233,1.9240213192351063
21_03_03,Gabriel Landeskog,W,COL,SJS,0.8648500240236159,1.6061500446152868,7.1659001990528175,2.223900061775012,0.7474775207632679,20.581666666666585,0.7264358921259689,0.8132362483411592,3.5,13.1,6200,38.66746499860272,13.26401459077064,2.139357192059781
21_03_03,Brent Burns,D,SJS,COL,0.2778778366695821,0.5557556733391642,5.928060515617751,3.982915658930677,0.2926979879586264,27.307222222222265,0.1497181232864054,0.8812470929250327,2.5,13.5,6500,28.500373822313993,12.971100689705573,1.9955539522623957
21_03_03,Mikko Rantanen,W,COL,SJS,1.0342227169892697,1.292778396236587,7.756670377419521,1.5513340754839045,0.6412180845333473,19.49722222222212,0.7795656102409292,0.8486560604177994,3.5,13.8,8000,39.307574891189944,12.773142044502814,1.5966427555628517
21_03_03,Darnell Nurse,D,EDM,TOR,0.5628077855077012,0.8442116782615517,6.097084343000096,4.127257093723141,0.250449464550927,25.75722222222216,0.2380864083070643,0.7695168465492326,3.2,12.8,5400,29.559909231775126,12.689685849192472,2.349941823924532
21_03_03,Joel Eriksson Ek,C,MIN,VGK,1.3115284974093335,0.8743523316062227,8.889248704663263,1.3115284974093335,1.1060556994818715,16.96722222222214,0.7894809978329191,0.7751371594119965,2.5,8.7,4700,44.33887994147185,12.53846048418968,2.6677575498275914
21_03_03,Dustin Brown,W,LAK,ARI,1.477446554490158,0.8058799388128136,8.998992650076419,0.8058799388128136,0.90795806439577,18.212222222222326,0.7134925907689553,0.7053038548766666,2.8,9.8,6100,41.04499146064759,12.458675093175525,2.0424057529795943
21_03_03,Brad Marchand,W,BOS,WSH,1.5843168633726772,1.7283456691338297,7.63352670534108,1.2962592518503722,0.7820764152830578,18.539444444444424,0.8327961684657408,0.7874288149813541,3.2,14.6,7800,39.656105776976524,12.253369498921131,1.5709448075539914
21_03_03,William Karlsson,C,VGK,MIN,1.535359801488828,1.3957816377171162,6.8393300248138695,2.0936724565756744,0.8318858560794014,18.40111111111116,0.8663988476312452,0.8275992317541642,3.0,10.2,5500,39.685267022161185,12.170883465815058,2.2128879028754653
21_03_03,Alex Iafallo,W,LAK,ARI,0.3894839337877304,1.428107757221678,6.36157091853293,1.9474196689386525,0.6011035378123972,20.24555555555559,0.8669198540606418,0.8075886970711242,2.8,11.1,5100,35.97672362663362,12.139479281498007,2.3802900551956876
21_03_03,Shea Theodore,D,VGK,MIN,0.7073287113705878,0.8083756701378146,8.184803660145375,3.031408763016805,0.3556852948606385,22.680000000000053,0.3272636567722629,0.6271651622736757,3.0,12.5,6200,32.08286063384307,12.127321319592708,1.956019567676243
21_03_03,Zach Hyman,W,TOR,EDM,0.746733042937153,0.9956440572495374,6.471686372121994,2.2401991288114598,0.8799004355942788,19.9316666666666,0.608492972728832,0.7708203316056359,3.3,9.8,4800,36.09382355215554,11.990167662784074,2.497951596413349
21_03_03,John Tavares,C,TOR,EDM,0.2594594594594606,1.5567567567567635,7.783783783783818,1.816216216216224,0.714810810810814,18.103333333333275,0.7580925024870082,0.8258502065334575,3.3,13.1,7300,39.71624660870248,11.98327418510347,1.6415444089182836
21_03_03,Jonathan Marchessault,W,VGK,MIN,1.0909090909090933,1.500000000000003,8.727272727272746,0.9545454545454568,0.8877272727272749,16.72277777777775,0.8384781393073084,0.808985426204873,3.0,10.3,6100,42.941415767002674,11.96832922224579,1.9620211839747195
21_03_03,Justin Faulk,D,STL,ANA,0.5042581801882559,0.4034065441506047,7.059614522635583,3.025549081129536,0.2844016136261763,23.500000000000018,0.3212278040510395,0.7325034977939963,3.0,11.5,4400,30.36577281091331,11.893261017607722,2.7030138676381186
