date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary,proj_FP/60,proj_FP,proj_value
21_03_10,Brady Tkachuk,W,OTT,EDM,1.0899595049767254,1.2262044430988162,13.62449381220907,1.2262044430988162,1.382886121939221,18.408888888888875,0.6460753406112298,0.648491203774048,2.6,12.4,6500,54.41063613278859,16.693989249037788,2.568306038313506
21_03_10,Connor McDavid,C,EDM,OTT,1.250157848213159,1.9320621290567008,8.978406364439962,0.9092057077913884,1.0433135496906183,22.216666666666665,0.6706488059725888,0.6319245059023967,3.9,23.2,8800,45.03066432390591,16.673854317712937,1.8947561724673792
21_03_10,Ryan Nugent-Hopkins,C,EDM,OTT,0.8094435075885368,0.5396290050590244,8.094435075885366,1.6188870151770736,0.8647554806070866,21.22555555555549,0.8818991247599703,0.6914438622635739,3.9,15.0,5900,44.76289809872551,15.835289673702793,2.683947402322507
21_03_10,Nathan MacKinnon,C,COL,ARI,0.3575566959112735,2.264525740771398,9.77321635490814,1.0726700877338204,0.8116536997185906,20.830555555555524,0.7110472021725422,0.7935686666347448,3.2,16.4,8300,45.26024614570701,15.713267863271126,1.89316480280375
21_03_10,Max Pacioretty,W,VGK,MIN,1.4676450967311545,1.6010673782521687,12.54169446297532,2.1347565043362247,1.0326884589726486,17.695,0.6041297773651986,0.7302521734017576,2.8,14.8,8100,51.88262231932146,15.301050032339889,1.8890185225110974
21_03_10,Mikko Rantanen,W,COL,ARI,1.0165184243964474,1.1435832274460034,8.132147395171579,1.7789072426937829,0.6365946632782751,19.828888888888805,0.7985767203927001,0.8519216787815167,3.2,16.7,8300,42.04644558792769,13.895571628928787,1.6741652564974443
21_03_10,Gabriel Landeskog,W,COL,ARI,0.7457276022786167,1.6157431382703362,7.581563956499269,2.1128948731227477,0.7854997410668095,20.37999999999989,0.7241241814984328,0.8022866528520053,3.2,13.6,6400,40.72670018354753,13.833502495678236,2.161484764949724
21_03_10,Brendan Gallagher,W,MTL,VAN,1.3171802585576116,1.3171802585576116,13.171802585576115,1.3171802585576116,1.2249776404585788,15.414999999999946,0.5503453795659383,0.5578147522739317,3.2,12.5,6600,53.02042838846673,13.62183172680353,2.0639138980005347
21_03_10,Darnell Nurse,D,EDM,OTT,0.5582982243014826,0.7443976324019766,6.234330171366555,4.466385794411861,0.2512342009356671,25.631111111111057,0.2935326456235713,0.8618614642973288,3.9,14.2,5100,31.776370485742337,13.574394710464865,2.6616460216597773
21_03_10,Kevin Fiala,W,MIN,VGK,1.438274071114668,1.2944466640032013,10.643228126248545,1.0067918497802677,1.0470635237714785,17.327777777777722,0.5519881175976912,0.7599193497603897,2.7,10.1,6300,45.26642772978444,13.072776674925668,2.075043916654868
21_03_10,Tyler Toffoli,W,MTL,VAN,1.6969792198609457,0.7070746749420607,10.888949994107737,0.8484896099304728,0.9347527202734044,17.6383333333333,0.510135135135131,0.5543382297033796,3.2,12.7,6600,44.46877672955574,13.07258511469132,1.9806947143471698
21_03_10,Dustin Brown,W,LAK,ANA,1.3641013982039236,0.8184608389223543,9.685119927247856,0.8184608389223543,0.9330453563714838,18.108333333333423,0.6998118062192165,0.6856070574788848,2.8,10.8,5800,42.62032774316714,12.863051692486478,2.2177675331873234
21_03_10,Leon Draisaitl,W,EDM,OTT,0.5957700327673531,2.0256181114090004,4.647006255585354,1.0723860589812355,0.5195114685731318,21.87111111111108,0.932549846531332,0.8065251996082256,3.9,21.1,7900,34.75975250479701,12.67057348711895,1.6038700616606265
21_03_10,Anze Kopitar,C,LAK,ANA,0.733795352629435,1.3452914798206304,5.9926620464737175,2.2013860578883047,0.7937219730941721,21.768333333333292,0.7694734978578723,0.7320481852379889,2.8,14.3,7600,34.73136114093281,12.600730773936737,1.6579908913074655
21_03_10,Tyson Barrie,D,EDM,OTT,0.1111866081907467,1.0006794737167204,7.894249181543017,3.1132250293409083,0.2935326456235713,22.27777777777779,0.2512342009356671,0.7347717668494521,3.9,11.9,5200,33.78339541798587,12.543649595011427,2.4122403067329667
21_03_10,Thomas Chabot,D,OTT,EDM,0.1860609349561981,1.488487479649585,6.140010853554539,3.256066361733468,0.2669974416621443,25.63333333333333,0.1176364781005488,0.8932895098291057,2.6,13.0,5500,28.508565891887724,12.179492872700921,2.2144532495819855
21_03_10,Drake Batherson,W,OTT,EDM,1.1172688982487295,0.4788295278208841,8.618931500775915,3.032587009532266,0.7182442917313262,15.992222222222182,0.9783962557151772,0.9808121188779954,2.6,11.9,4700,45.64988848407488,12.167386017616446,2.5888055356630733
21_03_10,Shea Theodore,D,VGK,MIN,0.7082431634861275,0.8094207582698599,7.689497203563669,3.0353278435119746,0.3470391501082024,22.60444444444452,0.1989408243149895,0.8058612447944804,2.8,12.6,5600,31.828898108703516,11.991242650434566,2.141293330434744
21_03_10,Conor Garland,W,ARI,COL,0.9904492394764776,1.697912981959676,9.338521400778218,0.9904492394764776,0.9027237354085612,17.11888888888887,0.7502339694477962,0.749420470659328,2.3,11.4,5700,40.85186092834329,11.65564113561082,2.0448493220369857
21_03_10,Alex Iafallo,W,LAK,ANA,0.3934426229508188,1.573770491803275,6.032786885245889,1.836065573770488,0.6059016393442608,20.101111111111138,0.8633836647328279,0.7946549631546259,2.8,11.3,4600,34.74601251093464,11.640557635839249,2.5305560077911413
21_03_10,Joel Eriksson Ek,C,MIN,VGK,1.3148283418553752,0.8765522279035837,8.473338203067975,1.3148283418553752,1.028487947406871,17.31111111111104,0.5809404755480465,0.7661112085485922,2.7,10.0,4700,40.1164137245429,11.574328256081033,2.4626230332087307
21_03_10,Alex Tuch,W,VGK,MIN,1.6576667085269368,0.9041818410146928,8.74042446314203,2.7125455230440783,0.7941730503579054,16.094999999999995,0.72338748167257,0.8097573096066721,2.8,11.6,5300,42.980053177815655,11.529399264949046,2.1753583518771786
21_03_10,William Karlsson,C,VGK,MIN,1.5456071191600576,1.405097381054598,6.88497716716753,1.967136333476437,0.8093360914874486,18.387777777777828,0.7382958203275016,0.804702962563491,2.8,10.9,5800,37.44608862880194,11.475839272556389,1.9785929780269635
21_03_10,Rickard Rakell,W,ANA,LAK,0.7462428744169988,1.6168595612368313,8.830540680601155,1.2437381240283314,0.8556918293314922,18.361666666666647,0.5511410065689153,0.5366295804933331,2.7,10.9,6400,37.21982438067298,11.390300144496495,1.7797343975775772
21_03_10,Nazem Kadri,C,COL,ARI,0.9187970564464696,1.3781955846697045,7.962907822536071,1.2250627419286262,0.95861159555915,17.126111111111083,0.5563161287452563,0.7445827013545584,3.2,10.7,6700,39.8090614726919,11.362906833506214,1.6959562438068976
21_03_10,Evgenii Dadonov,W,OTT,EDM,1.2445980985306877,0.1555747623163359,6.84528954191878,2.1780466724287035,0.5787381158167697,16.509999999999945,1.0173410404624352,1.0505652068352735,2.6,9.9,5100,40.30524557680348,11.090660074550387,2.1746392303039976
21_03_10,Jeff Carter,W,LAK,ANA,0.7384918355624834,0.88619020267498,8.861902026749801,1.6246820382374634,0.7650775416427329,16.958888888888918,0.6450403274416407,0.610889135223975,2.8,10.0,4100,39.13282173084198,11.060819594034115,2.6977608765936867
21_03_10,J.T. Miller,W,VAN,MTL,0.7601886394031107,1.0135848525374809,5.828112902090515,1.266981065671851,0.5929471387344262,21.168333333333344,0.7574314756716601,0.6697033016185511,2.8,13.1,5700,31.30780112051307,11.045566167545465,1.9378186258851693
21_03_10,Jesse Puljujarvi,W,EDM,OTT,0.9923778426678356,0.3976575584555875,8.688804871691854,1.433599229523684,1.0615460771489502,13.946533590969606,0.7835038264890385,0.7620191578715181,3.9,9.6,4500,47.26693693999939,10.986832062932393,2.4415182362071985
21_03_10,Bo Horvat,C,VAN,MTL,0.7840005807411663,0.9146673441980272,6.533338172843052,2.3520017422234982,0.5579470799607965,19.287222222222304,0.7277337476303831,0.6813699878764276,2.8,11.7,5800,34.04970475749001,10.945403704312833,1.8871385697091092
21_03_10,Nick Suzuki,C,MTL,VAN,0.5374337538254854,1.2092259461073422,6.717921922818568,2.4184518922146845,0.675822945435548,18.338333333333274,0.5252310764143253,0.6838031171223078,3.2,11.3,5700,35.31225146764891,10.792797302737215,1.893473211006529
21_03_10,Kailer Yamamoto,W,EDM,OTT,0.9174645938762872,1.0485309644300425,4.718389339935191,3.407725634397638,0.8217861433720457,16.58000000000001,0.7814125091318751,0.8818991247599703,3.9,12.4,4700,38.958377528430766,10.765498323689707,2.2905315582318524
21_03_10,Nils Hoglander,W,VAN,MTL,0.610869985810745,0.9136739936269136,8.931486779780256,1.8325789957165937,0.8091118911543472,15.03076427105173,0.6493490994616996,0.8896299414020106,2.8,7.2,3600,42.8804984931916,10.742111077939198,2.9839197438719993
21_03_10,Jeff Petry,D,MTL,VAN,0.798630918425556,0.9127210496292067,5.362236166571591,3.194523673702224,0.2875071306332001,22.173333333333336,0.3370522607163841,0.7246054743200934,3.2,11.8,6300,28.41855304461614,10.502234158488143,1.667021294998118
21_03_10,Brock Boeser,W,VAN,MTL,1.071348857971875,1.339186072464844,6.428093147831253,1.4731046797113283,0.705751060188973,19.10555555555558,0.7010295149443867,0.6321019944670354,2.8,12.4,7100,32.91726381369085,10.481710208822498,1.4762972125102112
21_03_10,Jonathan Marchessault,W,VGK,MIN,1.0928961748633903,1.502732240437162,8.743169398907124,1.0928961748633903,0.8893442622950841,16.743333333333304,0.6982917349236839,0.4146142915011533,2.8,10.6,5800,37.23492117665341,10.390611615018319,1.7914847612100548
21_03_10,Drew Doughty,D,LAK,ANA,0.1920922042580442,0.7683688170321769,2.881383063870663,2.977429165999685,0.2458780214502965,26.38555555555552,0.0872515134882621,0.7474666322020347,2.8,12.5,6100,23.570764464615777,10.36546192113389,1.6992560526449
21_03_10,Adrian Kempe,W,LAK,ANA,1.1220446146311107,0.3205841756088887,7.533728126808884,1.282336702435555,0.6571975599982218,17.008888888888826,0.6156698604736197,0.7775563229366389,2.8,9.5,5000,36.23206515600051,10.271119507556552,2.0542239015113104
21_03_10,Clayton Keller,W,ARI,COL,0.9902935513027068,1.556175580618539,8.488230439737485,1.273234565960623,0.8375054033874317,16.694444444444454,0.7809011148420302,0.5660447598691858,2.3,9.6,6500,36.7975555995454,10.238579127466108,1.5751660196101704
21_03_10,Nick Schmaltz,C,ARI,COL,1.156347867983612,0.8672609009877089,7.371717658395525,1.879065285473369,0.8007708985786514,16.565000000000072,0.801210387862751,0.7834047496026312,2.3,10.0,4300,36.86557594823211,10.177971093041126,2.366970021637471
21_03_10,Jakob Chychrun,D,ARI,COL,0.6282357047292193,0.7329416555174224,5.758827293351176,3.9788261299517216,0.2732825315572103,22.868333333333307,0.178638687113263,0.7877462868466363,2.3,12.5,4500,26.596362301375237,10.136907976032479,2.2526462168961063
21_03_10,Tanner Pearson,W,VAN,MTL,0.5647058823529417,0.5647058823529417,7.9058823529411875,1.694117647058826,0.7454117647058834,16.443333333333317,0.6340014052578397,0.6188817596280652,2.8,11.1,3900,36.59376828995907,10.028725498575996,2.571468076557948
21_03_10,Matt Dumba,D,MIN,VGK,0.6717044500419814,0.4478029666946544,5.821438567030507,3.806325216904562,0.3358522250209907,22.242222222222225,0.1457096600107943,0.5147166405982714,2.7,10.2,4800,27.05104703521961,10.027923325019005,2.0891506927122925
21_03_10,Shea Weber,D,MTL,VAN,0.2300099032041652,0.2300099032041652,5.520237676899964,3.4501485480624776,0.1667571798230197,22.7255555555556,0.1999939615349773,0.6811430598933877,3.2,11.7,5100,26.296746340284827,9.960136164774939,1.9529678754460664
21_03_10,Ryan Getzlaf,C,ANA,LAK,0.0,1.2260652387799875,5.312949368046613,4.495572542193289,0.5340195262241726,17.310555555555574,0.7873154729360403,0.7873154729360403,2.7,10.3,4800,34.33043297310716,9.904647787120807,2.0634682889835014
21_03_10,Tyler Myers,D,VAN,MTL,0.2214362601876051,0.6643087805628155,5.20375211440872,3.2108257727202743,0.2026141780716587,22.16777777777782,0.1776108976597971,0.862790591319456,2.8,8.8,4300,26.577172521327043,9.81928090690735,2.283553699280779
21_03_10,Reilly Smith,W,VGK,MIN,0.8678532685121958,1.012495479930895,5.930330668166671,0.8678532685121958,0.5872473783599191,17.273333333333316,0.8493401768912663,0.8787325336060009,2.8,10.7,4500,34.09873970071184,9.816648284949364,2.1814773966554144
21_03_10,Devon Toews,D,COL,ARI,0.3143555710792858,1.0478519035976193,4.924903946908811,3.667481662591668,0.1969961578763524,22.888888888889003,0.1865070227953029,0.5920729538082561,3.2,11.7,4500,25.45796251544941,9.711741255893712,2.158164723531936
21_03_10,Samuel Girard,D,COL,ARI,0.5180750633202861,0.8289201013124577,4.144600506562289,2.383145291273316,0.1865070227953029,22.70999999999997,0.1969961578763524,0.7980899249057063,3.2,13.6,5300,25.63513520859391,9.702898676452781,1.8307355993307135
21_03_10,Jakob Silfverberg,W,ANA,LAK,0.878262990973409,0.731885825811174,7.3188582581117405,1.9029031471090525,0.6045376921200296,17.42999999999999,0.5026755246799848,0.6203476262304873,2.7,7.9,4900,33.05731530249097,9.603150095373621,1.9598265500762493
21_03_10,Christian Dvorak,C,ARI,COL,0.4275872990735602,0.8551745981471205,4.988518489191536,2.1379364953678013,0.796737667273734,18.47722222222224,0.8012849828988791,0.7847491600376036,2.3,10.1,4800,30.909002392092646,9.518541764431577,1.9830295342565785
21_03_10,Tomas Tatar,W,MTL,VAN,0.6239168110918534,2.0277296360485235,6.863084922010387,2.495667244367413,0.5880415944540719,14.629444444444468,0.8688134025681917,0.7701267676087674,3.2,9.9,5400,38.89549939427058,9.483659125456748,1.7562331713808794
21_03_10,Kirill Kaprizov,W,MIN,VGK,0.7934576355644417,1.916917032034679,6.172906822947311,1.1608358706981294,0.7496232815043948,16.570131303208964,0.708971366729182,0.859066097182751,2.7,10.0,5100,34.3055487090437,9.474124108958081,1.8576713939133493
21_03_10,Ethan Bear,D,EDM,OTT,0.0,0.437636761487965,3.610503282275712,3.50109409190372,0.1509846827133479,21.099999999999987,0.1531381723964577,0.8618614642973288,3.9,6.9,3500,26.718940849642717,9.396160865457684,2.684617390130767
21_03_10,Tyler Ennis,W,EDM,OTT,0.7980138322397617,1.1172193651356666,7.022521723709904,0.9576165986877142,0.7022521723709904,12.90166666666662,0.9631507788780184,0.941666110260498,3.9,8.5,3300,43.63539328874129,9.382821651337364,2.8432792882840494
21_03_10,Jared Spurgeon,D,MIN,VGK,0.2403525170249693,0.4807050340499386,5.047402857524355,4.206169047936963,0.3016424088663365,21.933333333333383,0.1620578778135043,0.5147166405982714,2.7,9.6,4200,25.480824829323613,9.314657076497209,2.2177754944040973
21_03_10,Ryan Graves,D,COL,ARI,0.0,0.6013429993652494,6.494504393144694,4.690475395048946,0.4125212975645611,20.136666666666653,0.1564425235182393,0.0,3.2,8.5,4200,27.215522085257753,9.133831606502332,2.1747218110719837
21_03_10,Nate Schmidt,D,VAN,MTL,0.3439599987260726,0.6879199974521452,4.700786649256325,3.898213318895489,0.2396254657791639,20.61277777777786,0.1637789178201527,0.862790591319456,2.8,9.2,4300,26.5569917422661,9.12355615382688,2.1217572450760187
21_03_10,Quinn Hughes,D,VAN,MTL,0.2165999819500025,1.0829999097500127,4.5485996209500525,2.1659998195000254,0.1851929845672522,22.72222222222213,0.2515563460805501,0.6505142608975198,2.8,11.9,5000,24.046719392938193,9.106581696029334,1.8213163392058669
21_03_10,Tyler Pitlick,W,ARI,COL,0.8070301291248169,0.8070301291248169,6.133428981348609,3.712338593974158,0.7650645624103263,16.245555555555608,0.8171215353305828,0.6022651803577385,2.3,8.5,3900,33.60320555243084,9.098379044112834,2.3329177036186755
21_03_10,Ryan Suter,D,MIN,VGK,0.1157556270096459,1.2733118971061053,3.935691318327962,4.0514469453376085,0.1620578778135043,22.65111111111116,0.3016424088663365,0.831705393263162,2.7,8.9,3900,23.78335632467381,8.978657445088913,2.302219857715106
21_03_10,Nick Paul,W,OTT,EDM,0.2969684471024962,1.187873788409985,6.830274283357415,1.6333264590637293,0.5850278407919177,15.632222222222175,0.6665000849492266,0.7956237149767844,2.6,6.7,3700,34.16695521896077,8.901757277325142,2.4058803452230118
21_03_10,Colin White,C,OTT,EDM,1.011560693641626,1.3005780346820903,6.791907514450917,2.167630057803484,1.0173410404624352,15.596666666666565,0.5787381158167697,0.5794671151415256,2.6,8.6,4500,34.15256635809752,8.877769888307625,1.9728377529572503
21_03_10,Adam Gaudette,W,VAN,MTL,0.8304498269896219,0.6228373702422165,10.588235294117675,3.3217993079584875,1.0692041522491382,10.937222222222193,0.5649277670248466,0.759583810854615,2.8,6.4,3300,48.319166139273854,8.807957627628534,2.6690780689783433
21_03_10,Brandon Saad,W,COL,ARI,1.5155342258146034,1.0608739580702224,6.971457438747176,0.909320535488762,0.6668350593584255,15.381666666666634,0.7022043968456185,0.5671522519581996,3.2,8.3,4700,34.35667328043543,8.80771493625383,1.8739819013306023
21_03_10,Chandler Stephenson,C,VGK,MIN,0.7090522335145405,1.276294020326173,5.388796974710508,2.1271567005436216,0.4140865043724916,16.76222222222212,0.913430754665277,0.6522431704624496,2.8,9.4,4800,31.096442339175418,8.687424613496251,1.809880127811719
