date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary,proj_FP/60,proj_FP,proj_value
21_03_23,Aleksander Barkov,C,FLA,CHI,1.1396011396011445,1.899335232668574,9.62329851218744,2.1525799303577173,1.0471668249446076,21.218333333333263,1.0840927878282325,0.5949989330106226,3.3,17.0,7700,48.49328149261881,17.14911018562578,2.2271571669643873
21_03_23,Nathan MacKinnon,C,COL,ARI,0.7388151593925294,2.4627171979750977,9.974004651799149,0.8619510192912843,1.0577370365303045,20.09222222222223,0.8284657170960901,0.9234444986826164,3.4,17.0,8800,50.193135145230094,16.80819375613326,1.910022017742416
21_03_23,Mikko Rantanen,W,COL,ARI,1.6556408532918363,1.400926875862323,9.04234619874772,1.400926875862323,0.7883397601443437,19.826666666666554,0.9631643552890704,1.01324359081127,3.4,16.2,8400,48.75741347444886,16.111616408112234,1.9180495723943136
21_03_23,Gabriel Landeskog,W,COL,ARI,0.6377325066430518,1.7856510186005452,8.162976085031064,2.2958370239149866,0.8685916740478365,19.887222222222096,0.923038398337324,0.986492952843439,3.4,13.5,6600,47.44692824185135,15.72646009512539,2.3827969841099077
21_03_23,Nazem Kadri,C,COL,ARI,1.060382916053018,1.514832737218597,10.149379339364602,1.666316010940457,1.1134020618556688,17.243888888888907,0.6276714891635748,0.9048894902408282,3.4,11.6,6500,50.113696081264216,14.40258345061446,2.2157820693253014
21_03_23,Patrick Kane,W,CHI,FLA,0.9870525514089824,1.9741051028179648,9.212490479817168,0.9870525514089824,0.6339070830159909,22.13444444444452,0.7214521294913598,0.6612113809148469,2.7,13.8,8100,38.51044743766537,14.206789322328415,1.753924607694866
21_03_23,Alex DeBrincat,W,CHI,FLA,1.3582575887497843,1.234779626136168,9.63128108386211,1.7286914765906352,0.8445892642771387,20.20166666666669,0.616111038860786,0.590983987161131,2.7,14.0,7200,40.08319914920396,13.495790469097273,1.8744153429301769
21_03_23,Filip Forsberg,W,NSH,DET,0.7774258566081207,1.2957097610135344,10.624820040310984,1.425280737114888,0.8758997984451493,18.53444444444442,0.5051124410808658,0.6177763740579908,3.0,14.7,7300,43.461881181187294,13.42569703672934,1.8391365803738822
21_03_23,Victor Hedman,D,TBL,DAL,0.5186124236487263,0.9335023625677074,5.601014175406244,3.94145441973032,0.3568053474703236,25.43000000000002,0.239419588875453,0.7555480281447902,3.1,14.7,6900,30.439358856385294,12.90121492863131,1.8697412940045375
21_03_23,Viktor Arvidsson,W,NSH,DET,0.2755242614419086,1.102097045767635,11.020970457676349,2.341956222256224,0.8431042400122407,16.977222222222306,0.5318917988764761,0.6287082268689603,3.0,12.4,4800,45.498038753608405,12.873838576588206,2.6820497034558763
21_03_23,Patric Hornqvist,W,FLA,CHI,0.6332453825857507,1.583113456464377,10.606860158311326,2.374670184696565,0.7868073878627955,16.590555555555582,0.41496295525441,0.7251786515515286,3.3,11.4,6300,45.928837373420606,12.699748800763535,2.015833142978339
21_03_23,Sean Couturier,C,PHI,NJD,1.3057671381936875,1.5959376133478402,8.269858541893354,0.725426187885382,0.9575625680087044,18.624444444444453,0.6593923458085087,0.6619612908104332,3.3,12.1,7300,40.689880930418546,12.630440447327334,1.7301973215516897
21_03_23,Brayden Point,C,TBL,DAL,1.2164445278768583,1.351605030974287,8.109630185845722,1.351605030974287,0.9353106814342068,18.46499999999995,0.7129785052121709,0.6956271437149847,3.1,13.2,7600,40.49479290496314,12.462272516502372,1.6397726995397857
21_03_23,Aaron Ekblad,D,FLA,CHI,0.3154297730658028,0.6308595461316056,5.257162884430045,1.6822921230176144,0.2460352229913261,25.42166666666664,0.2265827471306924,0.7457215636552842,3.3,13.2,5700,28.496310494743387,12.073728443786678,2.118197972594154
21_03_23,Dylan Larkin,C,DET,NSH,0.8193256819585799,0.9363722079526628,9.363722079526626,0.9363722079526628,0.6566310108268048,20.64166666666664,0.5862902044721234,0.4842037036430877,2.5,13.4,6300,35.01618910256563,12.046541723202077,1.9121494798733456
21_03_23,Mattias Ekholm,D,NSH,DET,0.5522149957049945,0.6626579948459936,7.068351945023931,3.0924039759479696,0.302613817646337,22.57833333333332,0.2449444366558095,0.6823072301547803,3.0,11.2,4100,31.456879393079465,11.837398476056869,2.8871703600138705
21_03_23,Kevin Hayes,C,PHI,NJD,0.9793634137810446,1.2591815320042,7.275271073802046,0.4197271773347334,0.8268625393494248,18.72722222222219,0.6045545201101008,0.7055279670301929,3.3,11.2,5600,37.18006719248836,11.604656342514703,2.0722600611633397
21_03_23,Alex Killorn,W,TBL,DAL,1.0582454961575616,1.0582454961575616,6.803006761012896,0.755889640112544,0.6999538067442157,18.611111111111097,0.8306569425571664,0.774079435278315,3.1,9.8,4900,36.9240457100591,11.453291956360914,2.337406521706309
21_03_23,Devon Toews,D,COL,ARI,0.3077712233906114,1.2310848935624457,5.437291613234134,3.693254680687336,0.2308284175429585,23.93611111111122,0.2696753907333764,0.6698120754723226,3.4,12.7,4900,28.44107869361468,11.34614699550365,2.3155402031640104
21_03_23,Kyle Palmieri,W,NJD,PHI,0.8130693367462197,0.6775577806218499,7.995181811337829,1.2196040051193298,1.0082059775653125,18.09833333333328,0.7028009680246212,0.6175502264684051,2.7,10.8,5500,37.482217363093746,11.306094398495382,2.0556535269991607
