date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary,proj_FP/60,proj_FP,proj_value
21_03_02,Brady Tkachuk,W,OTT,MTL,1.3547585895457803,0.9483310126820466,13.141158318594073,1.2192827305912026,1.3669514168516927,18.47944444444443,0.5647960480922303,0.6625595279154131,2.5,11.6,6800,53.12676855292943,16.362552799778612,2.406257764673325
21_03_02,Bryan Rust,W,PIT,PHI,1.185250219490784,1.3169446883230933,10.008779631255509,1.580333625987712,1.016681299385428,19.3283333333333,0.7756473611385666,0.5953919743444736,2.9,12.3,5600,45.25438152806561,14.57819618280489,2.603249318358016
21_03_02,Anders Lee,W,NYI,NJD,1.1532301121195994,1.0250934329951993,9.738387613454393,2.1783235451147984,1.021249332621467,18.403333333333265,0.7992712935623352,0.7992712935623352,3.0,12.3,7100,47.43111473747769,14.548176914756299,2.049039002078352
21_03_02,Filip Forsberg,W,NSH,CAR,0.9446339543426916,1.079581662105933,11.335607452112296,2.698954155264833,0.9243917981782056,17.971111111111124,0.6849314850751453,0.6820057327275751,2.7,11.6,7600,48.132207339271,14.416487435284624,1.896906241484819
21_03_02,Tyler Toffoli,W,MTL,OTT,1.9926461866919731,0.5693274819119923,11.955877120151838,0.7116593523899905,1.0589491163563056,17.576111111111093,0.5817033519813529,0.5716601071061095,4.0,13.9,6300,48.99148606529729,14.351330043035265,2.2779888957198833
21_03_02,Brendan Gallagher,W,MTL,OTT,1.170541375386121,1.170541375386121,13.461225816940392,1.170541375386121,1.2861323362055004,15.381111111111055,0.5772396018093651,0.5737135958471846,4.0,14.1,6200,55.17188368974809,14.143414554021854,2.2811958958099763
21_03_02,Mathew Barzal,C,NYI,NJD,0.9508402390306744,1.66397041830368,8.200997061639564,0.9508402390306744,0.7404668361451374,19.82111111111105,0.9396625418005,0.9396625418005,3.0,12.4,6700,42.60353140304337,14.074155494423858,2.100620223048337
21_03_02,Jake Guentzel,W,PIT,PHI,0.9488041114844848,1.541806681162288,6.997430322198076,2.01620873690453,0.7756473611385666,20.45111111111109,1.016681299385428,0.7159089434679042,2.9,13.8,7400,39.96370091889322,13.621701465058292,1.8407704682511206
21_03_02,Jordan Eberle,W,NYI,NJD,1.1754462342185383,0.5224205485415725,8.881149325206733,1.828471919895504,0.8580757509795329,18.06833333333343,0.8808580843833024,0.8808580843833024,3.0,10.5,6000,45.09694179476776,13.580442944363332,2.2634071573938885
21_03_02,Roman Josi,D,NSH,CAR,0.3867848509266739,0.6768734891216793,7.929089443996816,3.964544721998408,0.4148267526188577,25.036666666666576,0.3867716900266401,0.7426022490902326,2.7,13.3,6700,32.43842155378704,13.535832460582975,2.0202735015795485
21_03_02,Kyle Connor,W,WPG,VAN,1.4714898835070451,1.3488657265481243,8.338442673206586,0.8583690987124429,0.7737584304107876,19.579444444444515,0.8686149112718333,0.7778850304714767,3.0,14.5,6700,40.98211408494284,13.373450432367092,1.9960373779652376
21_03_02,Ryan Strome,C,NYR,BUF,1.0046645138141392,0.8611410118406908,9.329027628274147,1.578758521707933,1.0922138500179426,18.87611111111108,0.5932125650971833,0.5879410628155991,3.0,13.0,5600,42.35431597211016,13.3247462387443,2.3794189712043394
21_03_02,Sean Couturier,C,PHI,PIT,1.7916390179163963,1.7916390179163963,8.36098208360985,0.7465162574651651,1.0048108825481123,18.52999999999994,0.7822353291493989,0.7822353291493989,3.1,16.1,7600,42.28263218709372,13.058286240447403,1.7181955579536057
21_03_02,Nikolaj Ehlers,W,WPG,VAN,1.4739271224922676,1.7419138720363168,10.987456731305995,1.2059403729482192,0.9486730933859324,16.325000000000095,0.781157579784261,0.6880113443264403,3.0,14.0,6600,47.61385003944299,12.954935031565189,1.962868944176544
21_03_02,Mika Zibanejad,C,NYR,BUF,1.258252427184474,0.5592233009708772,6.850485436893246,3.075728155339825,0.5773980582524307,20.86722222222213,0.7653509640128257,0.7595463267374365,3.0,15.1,6200,36.59634129897101,12.727733106765221,2.0528601785105196
21_03_02,Andrew Copp,W,WPG,VAN,0.4062594041528736,1.3541980138429115,7.854348480288889,1.7604574179957857,0.8639783328317777,18.95777777777778,0.7626370035706934,0.7162429311778252,3.0,11.0,3700,39.878322555055306,12.60007295248803,3.405425122294062
21_03_02,Mark Scheifele,C,WPG,VAN,1.3144682793245095,1.8621633957097217,6.024646280237334,2.0812414422638064,0.9540848927430392,21.57888888888889,0.6159815122049004,0.7177762096940595,3.0,15.2,8200,34.97819464780591,12.579842930648862,1.5341271866644954
21_03_02,Zach Werenski,D,CBJ,DET,0.292524377031419,0.6825568797399778,6.923076923076917,2.8277356446370505,0.3169014084507039,24.478333333333342,0.2430114358322743,0.6291521873922521,3.2,10.9,4700,30.788519635898194,12.560860774789916,2.672523569104237
21_03_02,Andrei Svechnikov,W,CAR,NSH,0.6826974133353565,0.9557763786694992,8.875066373359635,0.6826974133353565,1.0363346734430712,17.503333333333323,0.7452767106327978,0.715901545126016,2.9,13.1,6100,42.41567442272875,12.373594799652697,2.0284581638774912
