date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,SV/60,GA/60,GSAA/60,xGSAA/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,over_under,ppg_projection,salary,implied_win_prob,implied_opp_score,proj_FP/60,proj_FP,proj_value
21_03_27,Andrei Vasilevskiy,G,TBL,CAR,0.0,0.0,0.0,0.0,0.0,27.001078052870685,1.890738880852124,0.7907932442020112,0.5267532180338901,60.29388888888884,0.0,0.0,2.8,5.5,19.1,8700,0.5163595982243688,2.7,24.918449069781538,25.04050332494739,2.8782187729824584
21_03_27,Philipp Grubauer,G,COL,VGK,0.0,0.0,0.0,0.0,0.0,23.482409967054185,1.6700117393115457,0.5500814178058847,0.3626311205362214,58.68222222222223,0.0,0.0,3.2,5.5,18.8,8200,0.6443821007008639,2.3,25.5233383987377,24.962770262795058,3.044240275950617
21_03_27,Igor Shesterkin,G,NYR,PHI,0.0,0.0,0.0,0.0,0.0,30.118515640403384,2.409940986574769,0.3671003829038305,0.2353690172050785,54.64414008755466,0.0,0.0,3.2,6.0,16.6,7600,0.5598015028739183,2.8,22.37680674130165,20.379356038063747,2.6814942155347037
21_03_27,Jack Campbell,G,TOR,EDM,0.0,0.0,0.0,0.0,0.0,26.5093288905662,2.5183862446037883,0.0970904170616987,-0.1255879456190574,60.35611111111107,0.0,0.0,3.6,6.5,16.2,8000,0.5960904848403678,2.9,18.936622334267685,19.049014694603464,2.381126836825433
21_03_27,Semyon Varlamov,G,NYI,PIT,0.0,0.0,0.0,0.0,0.0,25.94920794568771,2.3803537004442217,0.1736652418070572,-0.0660464336602129,59.655,0.0,0.0,2.8,5.5,17.6,8300,0.5163595982243688,2.7,18.320227261746638,18.214885954991594,2.1945645728905534
21_03_27,Auston Matthews,C,TOR,EDM,1.408747479004243,1.5171126696968769,9.427771590259162,3.0342253393937537,1.0598115649739612,0.0,0.0,0.0,0.0,22.13000000000002,0.7143184597619546,0.6682426270849037,3.6,6.5,21.1,8200,0.5960904848403678,2.9,48.79018650967696,17.9954471243192,2.194566722477951
21_03_27,Elvis Merzlikins,G,CBJ,DET,0.0,0.0,0.0,0.0,0.0,28.33662129608513,2.319748594767675,0.5545983563490717,-0.1759440088031482,56.04055555555564,0.0,0.0,3.0,5.5,16.8,6900,0.581316185501215,2.5,18.329242800768093,17.11968249112854,2.4811134045113823
21_03_27,Kevin Lankinen,G,CHI,NSH,0.0,0.0,0.0,0.0,0.0,28.61813029985268,2.568659150222452,0.2125448540221208,-0.078071074972486,56.37281820308844,0.0,0.0,2.8,5.5,21.3,7100,0.5163595982243688,2.7,18.186385667350123,17.08696354994636,2.4066145844994873
21_03_27,Mitchell Marner,W,TOR,EDM,1.2442266000565605,1.5835611273447132,8.25714016401172,2.0360071637289168,1.0462814591384713,0.0,0.0,0.0,0.0,22.613333333333248,0.7210835126796996,0.6727526623634003,3.6,6.5,10.5,7400,0.5960904848403678,2.9,44.84695101687504,16.902317538804393,2.2840969647032963
21_03_27,James Reimer,G,CAR,TBL,0.0,0.0,0.0,0.0,0.0,26.982482303155884,2.6843037950168,0.0585666282549119,-0.0840152226752011,57.37055555555559,0.0,0.0,2.7,5.5,18.6,8400,0.4836404017756313,2.8,17.499920974710733,16.733003141624575,1.9920241835267352
