date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,SV/60,GA/60,GSAA/60,xGSAA/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,over_under,ppg_projection,salary,implied_win_prob,implied_opp_score,proj_FP/60,proj_FP,proj_value
21_03_28,Jaroslav Halak,G,BOS,NJD,0.0,0.0,0.0,0.0,0.0,25.008814644698344,2.3327838077359218,0.1063474971173728,-0.0826766025976995,58.29944444444446,0.0,0.0,3.1,5.5,17.6,7800,0.6131754960593362,2.4,19.831792317173434,19.269707907146884,2.4704753727111393
21_03_28,Chris Driedger,G,FLA,DAL,0.0,0.0,0.0,0.0,0.0,27.84196148231671,2.174649481396876,0.5694404085092096,0.154286781471348,55.10561912917117,0.0,0.0,2.7,5.5,17.1,7700,0.4836404017756313,2.8,19.923054235241374,18.297870642950524,2.3763468367468215
21_03_28,Jordan Binnington,G,STL,ANA,0.0,0.0,0.0,0.0,0.0,25.7938056044531,2.7403777534611526,-0.1500356820019981,-0.2661591893049145,58.38611111111114,0.0,0.0,3.2,5.5,17.9,7300,0.6443821007008639,2.3,18.457983519121434,17.96149794390804,2.4604791703983615
21_03_28,Elvis Merzlikins,G,CBJ,DET,0.0,0.0,0.0,0.0,0.0,28.36022038130718,2.3187601569622225,0.5664909429624629,-0.199413373498751,56.06444444444453,0.0,0.0,3.1,5.5,16.9,6900,0.6131754960593362,2.4,18.581526972763903,17.362716444291156,2.5163357165639355
21_03_28,Ilya Samsonov,G,WSH,NYR,0.0,0.0,0.0,0.0,0.0,26.09792360933095,2.4732119969238666,0.2159446295821585,-0.1945347346834146,54.18055555555553,0.0,0.0,3.3,6.0,16.7,8500,0.5893326442375931,2.7,18.066020845060137,16.313784101060083,1.9192687177717744
21_03_28,Alex Ovechkin,W,WSH,NYR,1.708474576271182,0.9762711864406756,10.372881355932176,2.074576271186435,1.0507118644067768,0.0,0.0,0.0,0.0,20.397222222222275,0.5000979640049364,0.5221614312248045,3.3,6.0,16.8,8700,0.5893326442375931,2.7,45.121803416882905,15.339324189359816,1.7631407114206685
21_03_28,David Pastrnak,W,BOS,NJD,1.3393355407567349,1.7411362029837554,12.589754083113307,1.473269094832408,0.8558354105435537,0.0,0.0,0.0,0.0,18.57166666666655,0.552538400508179,0.5681457487304081,3.1,5.5,20.3,8300,0.6131754960593362,2.4,48.07953432519783,14.88195141626878,1.7930061947311784
21_03_28,Patrick Kane,W,CHI,NSH,0.8633093525179825,2.2661870503597035,8.956834532374067,0.8633093525179825,0.5999999999999979,0.0,0.0,0.0,0.0,22.39333333333339,0.8029449503550343,0.6925233846241302,2.8,5.5,17.4,8100,0.5163595982243688,2.7,38.582525059369644,14.399855741602552,1.7777599680990805
21_03_28,Alex DeBrincat,W,CHI,NSH,1.321674120552699,1.201521927775181,9.131566651091374,1.6821306988852536,0.8062212135371464,0.0,0.0,0.0,0.0,20.498333333333356,0.69983434358646,0.6237829801117473,2.8,5.5,15.0,7100,0.5163595982243688,2.7,39.854225673995245,13.61575337679078,1.9177117432099688
21_03_28,Jake Oettinger,G,DAL,FLA,0.0,0.0,0.0,0.0,0.0,22.26710682693844,2.210296353495272,0.0359878319182617,-0.2457941719290012,48.51465713621571,0.0,0.0,2.8,5.5,17.9,7400,0.5163595982243688,2.7,16.255596984855906,13.143911904413102,1.776204311407176
21_03_28,Patrice Bergeron,C,BOS,NJD,0.6174162843544974,1.6978947819748678,9.724306478583332,2.778373279595238,0.6266775286198147,0.0,0.0,0.0,0.0,18.284444444444507,0.6671173414700485,0.6445317093716545,3.1,5.5,16.6,7300,0.6131754960593362,2.4,42.85251849550089,13.058908228925278,1.788891538208942
21_03_28,Malcolm Subban,G,CHI,NSH,0.0,0.0,0.0,0.0,0.0,26.809757252345097,3.160355490673793,-0.3494145845868553,-0.5056568785078067,56.322777777777816,0.0,0.0,2.8,5.5,19.8,7300,0.5163595982243688,2.7,13.472435057108793,12.646749430784698,1.732431428874616
21_03_28,Zach Werenski,D,CBJ,DET,0.3942505133470226,0.6899383983572895,6.308008213552362,3.2525667351129366,0.3341273100616015,0.0,0.0,0.0,0.0,24.44888888888888,0.2504002729730445,0.5937888946196652,3.1,5.5,11.8,5100,0.6131754960593362,2.4,30.509037947455095,12.431867981403736,2.437621172824262
21_03_28,Roman Josi,D,NSH,CHI,0.1928382033907391,0.6749337118675869,6.942175322066609,3.953183169510152,0.323003990679488,0.0,0.0,0.0,0.0,24.66611111111104,0.1135109569604293,0.6176177010336925,2.7,5.5,12.9,6500,0.4836404017756313,2.8,30.20073932681249,12.415579864547627,1.9100892099304043
21_03_28,John Carlson,D,WSH,NYR,0.3191772320241151,1.5958861601205756,6.383544640482302,3.723734373614677,0.2787481159677271,0.0,0.0,0.0,0.0,23.79000000000005,0.10330485249073,0.6542990395202976,3.3,6.0,13.6,6700,0.5893326442375931,2.7,30.713786959412698,12.17801652940716,1.8176144073742029
21_03_28,Viktor Arvidsson,W,NSH,CHI,0.2719546742209626,0.9518413597733694,11.286118980169949,2.447592067988664,0.8580169971671371,0.0,0.0,0.0,0.0,16.757777777777807,0.5021540864520351,0.5374846023225442,2.7,5.5,12.2,4700,0.4836404017756313,2.8,43.30716275943212,12.095530161810302,2.5735170557043197
21_03_28,Jamie Benn,W,DAL,FLA,0.6788610220629826,1.2219498397133688,8.960965491231374,2.308127475014141,0.7331699038280214,0.0,0.0,0.0,0.0,18.032222222222234,0.6674218992296794,0.6246233092405389,2.8,5.5,11.9,6300,0.5163595982243688,2.7,39.447324554585556,11.855382040673508,1.8818066731227792
21_03_28,Cam Atkinson,W,CBJ,DET,0.9565745520801696,0.683267537200121,9.15578499848162,1.366535074400242,0.6791679319769204,0.0,0.0,0.0,0.0,18.61944444444445,0.4783201986163669,0.537462940147614,3.1,5.5,12.7,6100,0.6131754960593362,2.4,37.98856760705574,11.788767068059942,1.9325847652557282
21_03_28,Seth Jones,D,CBJ,DET,0.2834720071392957,1.0393973595107509,5.7639308118323465,4.441061445182299,0.2504002729730445,0.0,0.0,0.0,0.0,25.061111111111067,0.3341273100616015,0.5728891881049406,3.1,5.5,13.9,5400,0.6131754960593362,2.4,27.864277468592025,11.638495894520222,2.1552770175037446
21_03_28,Pavel Buchnevich,W,NYR,WSH,1.4284013807879987,1.7140816569455988,8.141887870491592,2.142602071181998,0.7799071539102475,0.0,0.0,0.0,0.0,18.854444444444457,0.5421680308730391,0.6825183799534342,2.7,6.0,12.9,5900,0.4106673557624068,3.3,36.91223655869865,11.599328558602924,1.9659878912886313
21_03_28,Ryan Strome,C,NYR,WSH,1.4046587849701564,1.1237270279761251,8.989816223809003,1.264192906473141,0.9383120683600646,0.0,0.0,0.0,0.0,18.34833333333328,0.6199266333815783,0.5186542072560484,2.7,6.0,11.2,5900,0.4106673557624068,3.3,37.787271227936934,11.55555747078768,1.9585690628453694
21_03_28,Dylan Larkin,C,DET,CBJ,0.7030334591850014,1.0545501887775022,9.139434969405018,0.8202057023825016,0.6901445124332763,0.0,0.0,0.0,0.0,20.409444444444446,0.5594340156963769,0.5117278392690222,2.4,5.5,11.6,6200,0.3868245039406638,3.1,33.91609270237895,11.536810163030513,1.8607758327468569
21_03_28,Ryan O'Reilly,C,STL,ANA,0.9816954698844502,1.9633909397689004,6.135596686777814,0.8589835361488939,0.5620206565088478,0.0,0.0,0.0,0.0,21.21111111111104,0.6804176139661046,0.6193776915066099,3.2,5.5,12.7,7100,0.6443821007008639,2.3,32.34968108798668,11.43621133277155,1.6107339905312044
21_03_28,Torey Krug,D,STL,ANA,0.0,1.1137674026156648,6.075094923358171,3.3413022078469945,0.2784418506539161,0.0,0.0,0.0,0.0,22.90388888888891,0.2239906002990812,0.6748889122733744,3.2,5.5,12.2,4700,0.6443821007008639,2.3,29.938833250790417,11.428595170651276,2.4316159937555906
21_03_28,Rickard Rakell,W,ANA,STL,0.8586908372235693,1.2267011960336702,9.077588850649162,0.8586908372235693,0.9715473472586672,0.0,0.0,0.0,0.0,18.45333333333328,0.6380439836511155,0.6129646535999144,2.3,5.5,11.4,5300,0.3556178992991362,3.2,36.715005172552345,11.2919038130694,2.1305478892583776
21_03_28,Mattias Ekholm,D,NSH,CHI,0.5535566011624682,0.6642679213949617,7.085524494879593,3.099916966509822,0.295599225020758,0.0,0.0,0.0,0.0,22.392777777777788,0.2478910208101602,0.6306262005317441,2.7,5.5,12.0,4000,0.4836404017756313,2.8,30.038534539148603,11.210770478420956,2.802692619605239
21_03_28,Carter Verhaeghe,W,FLA,DAL,1.1398817900365776,1.3931888544891502,7.979172530256043,1.1398817900365776,1.063889670700806,0.0,0.0,0.0,0.0,16.960000000000157,0.7335508802280772,0.7499515339714194,2.7,5.5,10.0,5100,0.4836404017756313,2.8,39.29122227665206,11.106318830200419,2.1777095745491017
21_03_28,Frank Vatrano,W,FLA,DAL,1.2723658051689897,0.3180914512922474,11.928429423459278,1.9085487077534848,1.013121272365808,0.0,0.0,0.0,0.0,13.896666666666638,0.517349295520415,0.7668743334164189,2.7,5.5,9.0,3600,0.4836404017756313,2.8,47.738583004875,11.056786252629081,3.071329514619189
21_03_28,Charlie McAvoy,D,BOS,NJD,0.3089863531027368,1.1329499613767018,5.149772551712281,4.119818041369824,0.2832374903441754,0.0,0.0,0.0,0.0,23.988333333333408,0.2280682916353486,0.6148421669880187,3.1,5.5,12.4,4700,0.6131754960593362,2.4,27.63461065303346,11.048470864697551,2.350738481850543
21_03_28,Brayden Schenn,C,STL,ANA,0.8499443488819186,1.0927855914196096,5.949610442173431,1.4570474552261463,0.7904482444601842,0.0,0.0,0.0,0.0,19.73888888888889,0.5530358097990206,0.6363691348777711,3.2,5.5,11.9,5400,0.6443821007008639,2.3,33.42375334434227,10.995795891893344,2.0362584984987673
21_03_28,Aaron Ekblad,D,FLA,DAL,0.4272616681007638,0.5340770851259548,5.447586268284739,1.815862089428246,0.2798563926060003,0.0,0.0,0.0,0.0,25.261111111111063,0.1826252377932787,0.4645820886025494,2.7,5.5,12.1,5500,0.4836404017756313,2.8,25.749043817765486,10.840824281424023,1.971058960258913
