first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Juuse,Saros,G,,2,,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,7500,9,-8.0,12.2,42.4,13.6,1.81
Roman,Josi,D,,1,1,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,6600,22,8.0,11.8,17.6,13.6,2.06
Mikko,Koskinen,G,,2,,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,7400,26,0.0,9.4,18.4,13.3,1.80
Ryan,Miller,G,,2,,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,7200,29,1.6,11.8,28.0,13.1,1.82
Bo,Horvat,C,,1,1,,2020-01-29,Main,VAN,SJS,+1.5,6,3,5900,15,1.6,17.4,33.6,13.1,2.21
Tyler,Seguin,C,,1,1,,2020-01-29,Main,DAL,TOR,-1.5,6,3,7700,31,4.8,12.3,18.1,13.0,1.69
Mark,Giordano,D,,1,1,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,5900,25,6.4,14.7,25.0,12.9,2.19
Tyson,Barrie,D,,2,1,,2020-01-29,Main,TOR,DAL,+1.5,6,3,5200,30,9.6,13.6,19.7,12.6,2.43
Tom,Wilson,W,,1,2,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,5000,4,8.0,16.1,28.5,12.4,2.48
Jack,Campbell,G,,2,,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,7200,10,1.6,14.4,39.2,11.9,1.66
Jake,Virtanen,W,,2,2,,2020-01-29,Main,VAN,SJS,+1.5,6,3,3900,29,4.8,14.3,22.9,11.7,2.99
Oscar,Klefbom,D,,2,1,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,5600,10,4.8,12.6,23.2,11.4,2.03
Elias,Lindholm,C,,1,1,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,6400,22,3.2,12.4,29.3,11.4,1.78
Zach,Hyman,W,,1,2,,2020-01-29,Main,TOR,DAL,+1.5,6,3,5300,24,0.0,16.6,31.2,11.0,2.07
Victor,Hedman,D,,1,1,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,5800,15,1.6,8.6,12.8,11.0,1.89
Jamie,Benn,W,,1,1,,2020-01-29,Main,DAL,TOR,-1.5,6,3,6600,19,3.2,14.5,33.6,11.0,1.66
Brent,Burns,D,,1,2,,2020-01-29,Main,SJS,VAN,-1.5,6,3,6300,6,4.8,12.6,31.2,10.9,1.73
Christian,Dvorak,C,,1,1,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,4200,9,3.2,11.7,17.3,10.7,2.55
Tanner,Pearson,W,,1,2,,2020-01-29,Main,VAN,SJS,+1.5,6,3,5400,29,4.8,13.5,26.9,10.6,1.96
Matthew,Tkachuk,W,,1,1,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,6000,12,1.6,8.4,24.2,10.1,1.68
Jakob,Silfverberg,W,,3,1,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,5500,27,1.6,12.0,21.6,10.1,1.84
Anze,Kopitar,C,,1,1,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,7200,6,1.6,11.9,33.8,10.0,1.39
Tyler,Toffoli,W,,1,1,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,4800,16,4.8,10.1,21.6,9.9,2.06
Evander,Kane,W,,1,1,,2020-01-29,Main,SJS,VAN,-1.5,6,3,6900,8,3.2,10.5,26.9,9.8,1.41
Darnell,Nurse,D,,1,2,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,4000,10,3.2,9.4,16.8,9.7,2.43
Quinn,Hughes,D,,2,1,,2020-01-29,Main,VAN,SJS,+1.5,6,3,4000,13,3.2,9.6,16.8,9.6,2.40
Anthony,Cirelli,C,,2,,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,5200,10,0.0,15.0,44.0,9.5,1.82
Rickard,Rakell,W,,1,1,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,5800,27,1.6,12.3,25.3,9.4,1.62
Conor,Garland,W,,1,1,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,4500,20,1.6,15.6,39.7,9.4,2.08
Jeff,Carter,C,,2,2,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,4900,6,6.4,12.9,26.4,9.0,1.83
Tomas,Hertl,C,,1,1,,2020-01-29,Main,SJS,VAN,-1.5,6,3,5900,2,3.2,7.4,16.0,9.0,1.53
Filip,Forsberg,W,,2,2,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,7300,7,3.2,10.1,26.4,8.9,1.22
Esa,Lindell,D,,1,2,,2020-01-29,Main,DAL,TOR,-1.5,6,3,4000,29,3.2,10.7,21.6,8.8,2.21
Erik,Karlsson,D,,2,1,,2020-01-29,Main,SJS,VAN,-1.5,6,3,6700,6,3.2,9.7,12.8,8.8,1.31
Viktor,Arvidsson,W,,3,1,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,6400,7,3.2,9.6,18.4,8.8,1.37
Sean,Monahan,C,,2,1,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,6700,12,0.0,9.2,31.4,8.8,1.31
Alexander,Edler,D,,1,,,2020-01-29,Main,VAN,SJS,+1.5,6,3,4700,13,4.8,8.0,11.2,8.7,1.86
Matt,Duchene,C,,2,1,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,6200,14,1.6,6.7,9.6,8.6,1.39
Mikael,Granlund,W,,2,2,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,4600,7,0.0,8.1,16.8,8.5,1.84
Ryan,Getzlaf,C,,1,1,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,5700,29,1.6,8.4,22.9,8.5,1.49
Brayden,Point,C,,1,1,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,7000,10,1.6,6.4,17.6,8.5,1.21
Alex,Goligoski,D,,3,2,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,4300,11,0.0,7.7,12.8,8.2,1.91
Derek,Stepan,C,,2,,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,4900,9,6.4,15.2,32.0,8.2,1.67
Drew,Doughty,D,DTD,1,1,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,5200,17,3.2,8.3,14.4,8.2,1.58
John,Klingberg,D,,2,1,,2020-01-29,Main,DAL,TOR,-1.5,6,3,5400,29,1.6,9.6,20.2,8.1,1.50
Travis,Hamonic,D,,2,,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,4000,25,3.2,10.9,19.2,8.1,2.03
Kailer,Yamamoto,W,,2,,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,3600,22,1.6,9.9,17.6,8.0,2.22
